location_type,time_of_day,day_of_week,num_suspects,weapon_involved,known_offender,prior_incidents,suspect_age,officer_on_scene,crime_type,latitude,longitude,description,date
Commercial,Afternoon,Monday,3,None,No,1,58,Yes,Theft,28.6094316012526,77.21276769390792,Type: Theft | Location: Commercial | Time: Afternoon | Weapon: None | Suspects: 3,2016-04-12
Park,Afternoon,Friday,1,Knife,Yes,2,33,No,Assault,28.56558861076952,77.21212524622224,Type: Assault | Location: Park | Time: Afternoon | Weapon: Knife | Suspects: 1,2022-08-31
Park,Night,Saturday,5,Gun,No,7,34,No,Assault,28.563227760847923,77.20746423772817,Type: Assault | Location: Park | Time: Night | Weapon: Gun | Suspects: 5,2018-04-18
Commercial,Afternoon,Monday,2,None,Yes,1,41,Yes,Assault,28.6134916696279,77.21329799489538,Type: Assault | Location: Commercial | Time: Afternoon | Weapon: None | Suspects: 2,2018-03-04
Parking Lot,Evening,Monday,1,None,No,0,49,No,Assault,28.604580013361574,77.19812245258461,Type: Assault | Location: Parking Lot | Time: Evening | Weapon: None | Suspects: 1,2021-03-17
Parking Lot,Morning,Wednesday,3,Knife,Yes,2,40,Yes,Robbery,28.60219675521295,77.1958644166966,Type: Robbery | Location: Parking Lot | Time: Morning | Weapon: Knife | Suspects: 3,2023-08-18
Street,Evening,Monday,2,Gun,Yes,9,44,Yes,Vandalism,28.610267998798808,77.2250842457839,Type: Vandalism | Location: Street | Time: Evening | Weapon: Gun | Suspects: 2,2022-06-05
Commercial,Evening,Thursday,3,None,No,4,23,Yes,Theft,28.6105851969448,77.2042265982012,Type: Theft | Location: Commercial | Time: Evening | Weapon: None | Suspects: 3,2019-11-25
Parking Lot,Evening,Monday,2,Gun,No,0,27,Yes,Vandalism,28.602062846768806,77.20035745699253,Type: Vandalism | Location: Parking Lot | Time: Evening | Weapon: Gun | Suspects: 2,2021-11-05
Parking Lot,Morning,Monday,1,Knife,No,10,37,No,Robbery,28.596793832764103,77.20299079169254,Type: Robbery | Location: Parking Lot | Time: Morning | Weapon: Knife | Suspects: 1,2021-12-30
Commercial,Evening,Thursday,2,Blunt Object,No,4,41,No,Burglary,28.61415100219749,77.21246807588005,Type: Burglary | Location: Commercial | Time: Evening | Weapon: Blunt Object | Suspects: 2,2016-01-23
Street,Morning,Wednesday,3,Gun,Yes,0,21,No,Burglary,28.61015991486996,77.2333366587214,Type: Burglary | Location: Street | Time: Morning | Weapon: Gun | Suspects: 3,2023-09-05
Parking Lot,Night,Wednesday,4,None,No,7,53,No,Robbery,28.60232407340804,77.19816046854739,Type: Robbery | Location: Parking Lot | Time: Night | Weapon: None | Suspects: 4,2021-03-09
Residential,Morning,Tuesday,4,Blunt Object,No,9,39,Yes,Vandalism,28.6153680877699,77.1969952603652,Type: Vandalism | Location: Residential | Time: Morning | Weapon: Blunt Object | Suspects: 4,2018-09-21
Parking Lot,Night,Saturday,5,Gun,Yes,8,30,No,Assault,28.59813683000232,77.20115739732098,Type: Assault | Location: Parking Lot | Time: Night | Weapon: Gun | Suspects: 5,2019-08-10
Alley,Afternoon,Sunday,1,None,Yes,5,28,No,Assault,28.596534397461937,77.20480614648089,Type: Assault | Location: Alley | Time: Afternoon | Weapon: None | Suspects: 1,2018-07-31
Residential,Evening,Tuesday,3,Blunt Object,No,1,30,Yes,Homicide,28.61688287809275,77.20276974088542,Type: Homicide | Location: Residential | Time: Evening | Weapon: Blunt Object | Suspects: 3,2022-01-14
Alley,Night,Saturday,4,Gun,No,8,45,Yes,Robbery,28.59933107637981,77.198349745331,Type: Robbery | Location: Alley | Time: Night | Weapon: Gun | Suspects: 4,2017-12-04
Alley,Evening,Friday,1,Knife,No,2,22,Yes,Homicide,28.603323660791823,77.19851434399561,Type: Homicide | Location: Alley | Time: Evening | Weapon: Knife | Suspects: 1,2023-04-30
Parking Lot,Night,Friday,2,Blunt Object,No,0,49,No,Homicide,28.598434644446453,77.19565908028646,Type: Homicide | Location: Parking Lot | Time: Night | Weapon: Blunt Object | Suspects: 2,2019-03-11
Residential,Afternoon,Thursday,1,None,Yes,4,56,No,Homicide,28.620452963574152,77.20269275149728,Type: Homicide | Location: Residential | Time: Afternoon | Weapon: None | Suspects: 1,2015-09-02
Commercial,Evening,Sunday,3,Gun,No,4,31,Yes,Robbery,28.6153772144288,77.20490620385213,Type: Robbery | Location: Commercial | Time: Evening | Weapon: Gun | Suspects: 3,2022-05-05
Street,Night,Tuesday,3,None,Yes,3,46,Yes,Robbery,28.61389536286205,77.23023157144557,Type: Robbery | Location: Street | Time: Night | Weapon: None | Suspects: 3,2017-04-09
Street,Morning,Friday,5,Blunt Object,Yes,4,41,No,Assault,28.61104810990361,77.23166868859002,Type: Assault | Location: Street | Time: Morning | Weapon: Blunt Object | Suspects: 5,2022-10-31
Commercial,Evening,Tuesday,2,Gun,Yes,6,60,Yes,Burglary,28.6101629907752,77.21287413908307,Type: Burglary | Location: Commercial | Time: Evening | Weapon: Gun | Suspects: 2,2016-10-15
Residential,Afternoon,Sunday,2,Blunt Object,Yes,5,33,No,Assault,28.61811768152357,77.19672635755506,Type: Assault | Location: Residential | Time: Afternoon | Weapon: Blunt Object | Suspects: 2,2018-02-05
Alley,Evening,Monday,1,None,Yes,5,32,No,Burglary,28.597613126579827,77.19775655362227,Type: Burglary | Location: Alley | Time: Evening | Weapon: None | Suspects: 1,2015-10-22
Commercial,Afternoon,Friday,4,None,No,9,28,No,Assault,28.609830443725446,77.20949193407543,Type: Assault | Location: Commercial | Time: Afternoon | Weapon: None | Suspects: 4,2015-06-26
Residential,Morning,Sunday,5,Blunt Object,Yes,4,43,No,Robbery,28.619665382307225,77.19834353922691,Type: Robbery | Location: Residential | Time: Morning | Weapon: Blunt Object | Suspects: 5,2023-10-03
Residential,Afternoon,Wednesday,4,Knife,Yes,6,52,Yes,Robbery,28.624607380521365,77.2026499732485,Type: Robbery | Location: Residential | Time: Afternoon | Weapon: Knife | Suspects: 4,2022-08-21
Alley,Afternoon,Friday,1,Gun,Yes,5,25,No,Assault,28.60255285570696,77.19921913812192,Type: Assault | Location: Alley | Time: Afternoon | Weapon: Gun | Suspects: 1,2024-12-30
Parking Lot,Morning,Wednesday,3,Gun,Yes,10,28,No,Burglary,28.596743560285017,77.20493999807162,Type: Burglary | Location: Parking Lot | Time: Morning | Weapon: Gun | Suspects: 3,2019-08-14
Parking Lot,Afternoon,Sunday,5,Blunt Object,No,7,16,No,Vandalism,28.59532622552848,77.20053883718614,Type: Vandalism | Location: Parking Lot | Time: Afternoon | Weapon: Blunt Object | Suspects: 5,2016-06-11
Alley,Afternoon,Sunday,4,Knife,Yes,3,44,No,Vandalism,28.597597363692778,77.20482224182673,Type: Vandalism | Location: Alley | Time: Afternoon | Weapon: Knife | Suspects: 4,2018-02-28
Commercial,Morning,Friday,4,Blunt Object,Yes,5,25,Yes,Robbery,28.615022757995703,77.21373515380789,Type: Robbery | Location: Commercial | Time: Morning | Weapon: Blunt Object | Suspects: 4,2016-04-07
Alley,Morning,Saturday,3,Knife,No,8,60,No,Burglary,28.595626322555027,77.2023468151993,Type: Burglary | Location: Alley | Time: Morning | Weapon: Knife | Suspects: 3,2015-07-07
Commercial,Night,Friday,5,Blunt Object,No,5,37,No,Burglary,28.611155210898804,77.20549635902759,Type: Burglary | Location: Commercial | Time: Night | Weapon: Blunt Object | Suspects: 5,2019-04-09
Park,Morning,Sunday,2,Knife,Yes,10,28,Yes,Theft,28.569704235021582,77.21188840172239,Type: Theft | Location: Park | Time: Morning | Weapon: Knife | Suspects: 2,2019-07-14
Alley,Night,Monday,4,Knife,Yes,1,26,Yes,Assault,28.59542570334957,77.19538009138465,Type: Assault | Location: Alley | Time: Night | Weapon: Knife | Suspects: 4,2021-05-02
Street,Evening,Tuesday,2,Blunt Object,Yes,10,30,No,Homicide,28.61416669667203,77.23141984709247,Type: Homicide | Location: Street | Time: Evening | Weapon: Blunt Object | Suspects: 2,2019-03-22
Commercial,Afternoon,Monday,3,Knife,No,8,55,No,Vandalism,28.61330395387756,77.21016737062388,Type: Vandalism | Location: Commercial | Time: Afternoon | Weapon: Knife | Suspects: 3,2022-03-11
Parking Lot,Evening,Wednesday,4,Blunt Object,No,5,42,Yes,Theft,28.59890787452549,77.19853263752525,Type: Theft | Location: Parking Lot | Time: Evening | Weapon: Blunt Object | Suspects: 4,2015-04-11
Alley,Afternoon,Friday,3,Blunt Object,Yes,2,59,No,Robbery,28.59721217921804,77.20424514188531,Type: Robbery | Location: Alley | Time: Afternoon | Weapon: Blunt Object | Suspects: 3,2021-04-18
Commercial,Afternoon,Friday,5,None,No,7,52,Yes,Homicide,28.617153146352504,77.20707837901125,Type: Homicide | Location: Commercial | Time: Afternoon | Weapon: None | Suspects: 5,2021-11-06
Parking Lot,Night,Sunday,1,Blunt Object,No,7,22,Yes,Assault,28.601850780444288,77.20000782537193,Type: Assault | Location: Parking Lot | Time: Night | Weapon: Blunt Object | Suspects: 1,2019-10-25
Residential,Afternoon,Monday,1,Knife,No,1,35,Yes,Assault,28.61853261480786,77.19501834317141,Type: Assault | Location: Residential | Time: Afternoon | Weapon: Knife | Suspects: 1,2016-10-20
Street,Evening,Wednesday,5,Knife,No,8,16,No,Burglary,28.61245242522256,77.23444442131164,Type: Burglary | Location: Street | Time: Evening | Weapon: Knife | Suspects: 5,2020-04-07
Street,Night,Monday,5,None,Yes,10,25,No,Vandalism,28.613968281061418,77.23357489460537,Type: Vandalism | Location: Street | Time: Night | Weapon: None | Suspects: 5,2021-05-21
Park,Evening,Tuesday,3,Knife,No,2,48,Yes,Robbery,28.566042933433867,77.20958906026631,Type: Robbery | Location: Park | Time: Evening | Weapon: Knife | Suspects: 3,2018-07-20
Residential,Night,Saturday,3,Gun,No,6,57,Yes,Burglary,28.620853942420545,77.20236775215197,Type: Burglary | Location: Residential | Time: Night | Weapon: Gun | Suspects: 3,2020-04-14
Parking Lot,Evening,Sunday,4,Blunt Object,No,6,56,Yes,Theft,28.597274266365147,77.20445878934257,Type: Theft | Location: Parking Lot | Time: Evening | Weapon: Blunt Object | Suspects: 4,2020-02-03
Park,Morning,Tuesday,5,Knife,Yes,7,48,No,Burglary,28.56461056821428,77.20814631676097,Type: Burglary | Location: Park | Time: Morning | Weapon: Knife | Suspects: 5,2016-05-14
Commercial,Evening,Friday,4,Blunt Object,Yes,10,44,No,Theft,28.614064465297275,77.20535087223064,Type: Theft | Location: Commercial | Time: Evening | Weapon: Blunt Object | Suspects: 4,2017-02-06
Residential,Night,Saturday,2,Knife,Yes,2,47,Yes,Vandalism,28.62066786470282,77.20205014013607,Type: Vandalism | Location: Residential | Time: Night | Weapon: Knife | Suspects: 2,2023-07-21
Residential,Afternoon,Friday,5,None,Yes,8,35,Yes,Burglary,28.62245402697685,77.19668600550546,Type: Burglary | Location: Residential | Time: Afternoon | Weapon: None | Suspects: 5,2016-05-26
Residential,Morning,Tuesday,1,Knife,No,9,58,No,Robbery,28.619248812468324,77.20237009936926,Type: Robbery | Location: Residential | Time: Morning | Weapon: Knife | Suspects: 1,2020-03-21
Parking Lot,Night,Thursday,1,Gun,No,3,35,No,Robbery,28.600938283104657,77.2036749268581,Type: Robbery | Location: Parking Lot | Time: Night | Weapon: Gun | Suspects: 1,2022-05-23
Residential,Morning,Thursday,4,None,Yes,9,34,Yes,Vandalism,28.6179836720908,77.2003657588162,Type: Vandalism | Location: Residential | Time: Morning | Weapon: None | Suspects: 4,2020-04-17
Park,Night,Wednesday,4,Gun,No,1,49,Yes,Robbery,28.565574738070243,77.20703947275001,Type: Robbery | Location: Park | Time: Night | Weapon: Gun | Suspects: 4,2021-06-17
Park,Afternoon,Friday,2,Gun,Yes,5,22,No,Robbery,28.57110103905583,77.20522288578945,Type: Robbery | Location: Park | Time: Afternoon | Weapon: Gun | Suspects: 2,2018-03-10
Park,Morning,Tuesday,4,Gun,Yes,8,37,Yes,Vandalism,28.56590785729796,77.2078797376114,Type: Vandalism | Location: Park | Time: Morning | Weapon: Gun | Suspects: 4,2021-04-23
Alley,Afternoon,Thursday,2,None,Yes,6,21,Yes,Theft,28.59867432767892,77.19674068005669,Type: Theft | Location: Alley | Time: Afternoon | Weapon: None | Suspects: 2,2020-08-09
Residential,Afternoon,Saturday,1,None,No,8,35,Yes,Homicide,28.616722252725,77.19985988936807,Type: Homicide | Location: Residential | Time: Afternoon | Weapon: None | Suspects: 1,2022-11-21
Parking Lot,Evening,Wednesday,5,Knife,Yes,0,48,Yes,Robbery,28.59902216209776,77.20072042117918,Type: Robbery | Location: Parking Lot | Time: Evening | Weapon: Knife | Suspects: 5,2019-10-23
Residential,Night,Wednesday,4,Blunt Object,Yes,2,25,Yes,Homicide,28.61641663514516,77.20371802564311,Type: Homicide | Location: Residential | Time: Night | Weapon: Blunt Object | Suspects: 4,2015-11-09
Street,Night,Thursday,5,Knife,Yes,2,49,No,Theft,28.60753487132032,77.22630304154596,Type: Theft | Location: Street | Time: Night | Weapon: Knife | Suspects: 5,2017-11-13
Commercial,Evening,Wednesday,1,Knife,Yes,1,17,No,Robbery,28.617324419595395,77.20637125828725,Type: Robbery | Location: Commercial | Time: Evening | Weapon: Knife | Suspects: 1,2024-07-27
Residential,Evening,Sunday,1,None,Yes,6,23,Yes,Assault,28.615665625308512,77.20271484090146,Type: Assault | Location: Residential | Time: Evening | Weapon: None | Suspects: 1,2022-11-18
Parking Lot,Morning,Friday,5,Knife,No,7,29,Yes,Homicide,28.599342329547955,77.20470205918774,Type: Homicide | Location: Parking Lot | Time: Morning | Weapon: Knife | Suspects: 5,2024-11-04
Park,Morning,Saturday,2,Gun,Yes,3,21,No,Vandalism,28.56710477386412,77.21261892555823,Type: Vandalism | Location: Park | Time: Morning | Weapon: Gun | Suspects: 2,2024-01-07
Alley,Night,Thursday,2,None,No,8,35,No,Robbery,28.596429690457736,77.19901550883955,Type: Robbery | Location: Alley | Time: Night | Weapon: None | Suspects: 2,2022-08-02
Commercial,Evening,Saturday,4,None,No,2,48,No,Assault,28.61464340243011,77.21192475885664,Type: Assault | Location: Commercial | Time: Evening | Weapon: None | Suspects: 4,2016-04-17
Alley,Morning,Tuesday,1,Blunt Object,No,5,18,No,Vandalism,28.599275484378428,77.20047632964393,Type: Vandalism | Location: Alley | Time: Morning | Weapon: Blunt Object | Suspects: 1,2023-10-19
Parking Lot,Afternoon,Tuesday,3,Gun,No,0,48,No,Robbery,28.600627406925632,77.19825610434272,Type: Robbery | Location: Parking Lot | Time: Afternoon | Weapon: Gun | Suspects: 3,2023-10-07
Commercial,Night,Wednesday,4,None,Yes,10,59,Yes,Burglary,28.61106412192596,77.2086405023916,Type: Burglary | Location: Commercial | Time: Night | Weapon: None | Suspects: 4,2018-08-15
Commercial,Night,Monday,5,Knife,No,8,20,No,Theft,28.61808639405696,77.2107953652941,Type: Theft | Location: Commercial | Time: Night | Weapon: Knife | Suspects: 5,2018-04-04
Commercial,Evening,Saturday,1,Knife,Yes,8,18,Yes,Theft,28.61387922857069,77.20875348905915,Type: Theft | Location: Commercial | Time: Evening | Weapon: Knife | Suspects: 1,2018-12-01
Park,Afternoon,Sunday,1,None,No,7,45,Yes,Burglary,28.566313570990108,77.20577522335086,Type: Burglary | Location: Park | Time: Afternoon | Weapon: None | Suspects: 1,2015-01-25
Alley,Morning,Sunday,1,Gun,No,7,39,Yes,Homicide,28.6023042964606,77.19782345584463,Type: Homicide | Location: Alley | Time: Morning | Weapon: Gun | Suspects: 1,2015-05-21
Street,Afternoon,Saturday,4,Knife,Yes,3,33,No,Homicide,28.606110750339315,77.2297187600942,Type: Homicide | Location: Street | Time: Afternoon | Weapon: Knife | Suspects: 4,2017-04-05
Parking Lot,Afternoon,Sunday,1,None,Yes,2,35,Yes,Vandalism,28.59763293707471,77.20270180964229,Type: Vandalism | Location: Parking Lot | Time: Afternoon | Weapon: None | Suspects: 1,2016-12-12
Commercial,Morning,Tuesday,2,Knife,No,4,51,Yes,Theft,28.61631311130136,77.21137479037047,Type: Theft | Location: Commercial | Time: Morning | Weapon: Knife | Suspects: 2,2019-06-09
Street,Afternoon,Saturday,5,None,Yes,3,16,No,Theft,28.607430812571653,77.22722962158132,Type: Theft | Location: Street | Time: Afternoon | Weapon: None | Suspects: 5,2022-12-05
Street,Night,Friday,3,Blunt Object,No,8,31,Yes,Burglary,28.60578876672068,77.23024317609209,Type: Burglary | Location: Street | Time: Night | Weapon: Blunt Object | Suspects: 3,2019-12-14
Commercial,Morning,Thursday,1,None,No,5,28,No,Burglary,28.61494025510353,77.20515555144318,Type: Burglary | Location: Commercial | Time: Morning | Weapon: None | Suspects: 1,2020-07-23
Residential,Evening,Tuesday,3,Knife,Yes,5,53,Yes,Homicide,28.62447900608685,77.20480323916433,Type: Homicide | Location: Residential | Time: Evening | Weapon: Knife | Suspects: 3,2015-09-08
Parking Lot,Morning,Monday,4,Knife,No,6,50,Yes,Robbery,28.59677348678793,77.2017465325206,Type: Robbery | Location: Parking Lot | Time: Morning | Weapon: Knife | Suspects: 4,2018-06-11
Commercial,Evening,Tuesday,1,None,Yes,10,41,No,Theft,28.60920017472645,77.20843160431417,Type: Theft | Location: Commercial | Time: Evening | Weapon: None | Suspects: 1,2023-04-09
Street,Night,Friday,4,Gun,Yes,9,57,Yes,Vandalism,28.611465055227864,77.23233104679863,Type: Vandalism | Location: Street | Time: Night | Weapon: Gun | Suspects: 4,2023-11-29
Commercial,Night,Saturday,1,None,No,5,41,No,Robbery,28.61359881706696,77.20756094257813,Type: Robbery | Location: Commercial | Time: Night | Weapon: None | Suspects: 1,2016-04-24
Residential,Afternoon,Thursday,4,Blunt Object,Yes,4,52,Yes,Theft,28.61931856809943,77.20280367959603,Type: Theft | Location: Residential | Time: Afternoon | Weapon: Blunt Object | Suspects: 4,2019-07-22
Alley,Morning,Saturday,4,Knife,Yes,0,37,No,Homicide,28.59527820583952,77.20057561060162,Type: Homicide | Location: Alley | Time: Morning | Weapon: Knife | Suspects: 4,2020-03-08
Residential,Night,Wednesday,2,None,Yes,3,42,No,Homicide,28.61800087778448,77.20008898604387,Type: Homicide | Location: Residential | Time: Night | Weapon: None | Suspects: 2,2019-07-02
Commercial,Evening,Thursday,1,None,No,4,54,No,Assault,28.61149755573448,77.2104554041437,Type: Assault | Location: Commercial | Time: Evening | Weapon: None | Suspects: 1,2023-03-07
Street,Night,Sunday,4,None,No,6,37,Yes,Theft,28.606214162559933,77.2278686417591,Type: Theft | Location: Street | Time: Night | Weapon: None | Suspects: 4,2018-07-27
Commercial,Morning,Saturday,2,None,No,9,50,Yes,Robbery,28.609207848257885,77.21133940646723,Type: Robbery | Location: Commercial | Time: Morning | Weapon: None | Suspects: 2,2022-05-21
Park,Morning,Monday,3,None,Yes,3,30,No,Vandalism,28.567139473205216,77.21253086624594,Type: Vandalism | Location: Park | Time: Morning | Weapon: None | Suspects: 3,2020-05-19
Park,Night,Sunday,5,Knife,Yes,7,41,Yes,Vandalism,28.564532110241,77.21105682333595,Type: Vandalism | Location: Park | Time: Night | Weapon: Knife | Suspects: 5,2017-11-16
Parking Lot,Evening,Sunday,5,Gun,No,8,44,No,Theft,28.6007670646038,77.20194252194213,Type: Theft | Location: Parking Lot | Time: Evening | Weapon: Gun | Suspects: 5,2019-02-19
Alley,Morning,Thursday,4,None,Yes,6,23,Yes,Assault,28.60465532849561,77.19860858349264,Type: Assault | Location: Alley | Time: Morning | Weapon: None | Suspects: 4,2018-11-01
Park,Afternoon,Wednesday,4,Blunt Object,No,10,43,No,Burglary,28.570798189597145,77.21048360441871,Type: Burglary | Location: Park | Time: Afternoon | Weapon: Blunt Object | Suspects: 4,2024-11-21
Commercial,Morning,Friday,4,Blunt Object,Yes,0,16,Yes,Theft,28.61620092005878,77.21217920811563,Type: Theft | Location: Commercial | Time: Morning | Weapon: Blunt Object | Suspects: 4,2019-07-18
Residential,Morning,Friday,5,Gun,Yes,4,48,Yes,Vandalism,28.62354690913861,77.19748469159305,Type: Vandalism | Location: Residential | Time: Morning | Weapon: Gun | Suspects: 5,2023-03-30
Commercial,Afternoon,Wednesday,5,Knife,Yes,1,50,No,Homicide,28.61246187889866,77.21037500875852,Type: Homicide | Location: Commercial | Time: Afternoon | Weapon: Knife | Suspects: 5,2022-01-15
